United States|North America|USA|278357000|Santa Clarita|California|151088
Egypt|Northern Africa|EGY|68470000|Tanta|al-Gharbiya|371010
Pakistan|Southern and Central Asia|PAK|156483000|Kasur|Punjab|241649
Ukraine|Eastern Europe|UKR|50456000|Berdjansk|Zaporizzja|130000
Thailand|Southeast Asia|THA|61399000|Hat Yai|Songkhla|148632
Brazil|South America|BRA|170115000|Águas Lindas de Goiás|Goiás|89200
Romania|Eastern Europe|ROM|22455500|Timisoara|Timis|324304
Brazil|South America|BRA|170115000|Ilhéus|Bahia|254970
India|Southern and Central Asia|IND|1013662000|Uttarpara-Kotrung|West Bengali|100867
India|Southern and Central Asia|IND|1013662000|Pudukkottai|Tamil Nadu|98619
United States|North America|USA|278357000|Corpus Christi|Texas|277454
North Korea|Eastern Asia|PRK|24039000|Kanggye|Chagang|223410
Germany|Western Europe|DEU|82164700|Cottbus|Brandenburg|110894
Palestine|Middle East|PSE|3101000|Gaza|Gaza|353632
Mexico|Central America|MEX|98881000|Atlixco|Puebla|117019
Brazil|South America|BRA|170115000|Camaçari|Bahia|149146
China|Eastern Asia|CHN|1277558000|Yuyao|Zhejiang|114065
Russian Federation|Eastern Europe|RUS|146934000|Kemerovo|Kemerovo|492700
China|Eastern Asia|CHN|1277558000|Haining|Zhejiang|100478
China|Eastern Asia|CHN|1277558000|Linfen|Shanxi|187309
Algeria|Northern Africa|DZA|31471000|Skikda|Skikda|128747
Uzbekistan|Southern and Central Asia|UZB|24318000|Ürgenc|Khorazm|138900
Libyan Arab Jamahiriya|Northern Africa|LBY|5605000|al-Zawiya|al-Zawiya|89338
China|Eastern Asia|CHN|1277558000|Chengde|Hebei|246799
Bulgaria|Eastern Europe|BGR|8190900|Varna|Varna|299801
India|Southern and Central Asia|IND|1013662000|Ambattur|Tamil Nadu|215424
China|Eastern Asia|CHN|1277558000|Yuzhou|Henan|92889
India|Southern and Central Asia|IND|1013662000|Akola|Maharashtra|328034
China|Eastern Asia|CHN|1277558000|Lanzhou|Gansu|1565800
Turkey|Middle East|TUR|66591000|Izmit (Kocaeli)|Kocaeli|210068
India|Southern and Central Asia|IND|1013662000|Thiruvananthapuram (Trivandrum|Kerala|524006
Aruba|Caribbean|ABW|103000|Oranjestad|–|29034
Germany|Western Europe|DEU|82164700|Kaiserslautern|Rheinland-Pfalz|100025
Taiwan|Eastern Asia|TWN|22256000|Hsichuh|Taipei|154976
Brazil|South America|BRA|170115000|Moji-Guaçu|São Paulo|123782
Benin|Western Africa|BEN|6097000|Djougou|Atacora|134099
India|Southern and Central Asia|IND|1013662000|Kurnool|Andhra Pradesh|236800
Cameroon|Central Africa|CMR|15085000|Nkongsamba|Littoral|112454
France|Western Europe|FRA|59225700|Nantes|Pays de la Loire|270251
Japan|Eastern Asia|JPN|126714000|Mobara|Chiba|91664
Canada|North America|CAN|31147000|Oakville|Ontario|139192
Pakistan|Southern and Central Asia|PAK|156483000|Jaranwala|Punjab|103300
Venezuela|South America|VEN|24170000|Los Teques|Miranda|178784
China|Eastern Asia|CHN|1277558000|Beipiao|Liaoning|194301
China|Eastern Asia|CHN|1277558000|Xuangzhou|Anhui|112673
Canada|North America|CAN|31147000|Toronto|Ontario|688275
China|Eastern Asia|CHN|1277558000|Hailar|Inner Mongolia|180650
Taiwan|Eastern Asia|TWN|22256000|Yungho|Taipei|227700
Brazil|South America|BRA|170115000|Conselheiro Lafaiete|Minas Gerais|97507
South Korea|Eastern Asia|KOR|46844000|Ansan|Kyonggi|510314
Mexico|Central America|MEX|98881000|Dolores Hidalgo|Guanajuato|128675
Brazil|South America|BRA|170115000|Itapevi|São Paulo|150664
Indonesia|Southeast Asia|IDN|212107000|Palangka Raya|Kalimantan Tengah|99693
Chile|South America|CHL|15211000|Temuco|La Araucanía|233041
India|Southern and Central Asia|IND|1013662000|Ranchi|Jharkhand|599306
Italy|Southern Europe|ITA|57680000|Alessandria|Piemonte|90289
Venezuela|South America|VEN|24170000|Punto Fijo|Falcón|167215
Brazil|South America|BRA|170115000|Maceió|Alagoas|786288
Spain|Southern Europe|ESP|39441700|Santiago de Compostela|Galicia|93745
Turkmenistan|Southern and Central Asia|TKM|4459000|Mary|Mary|101000
Philippines|Southeast Asia|PHL|75967000|Guagua|Central Luzon|96858
South Africa|Southern Africa|ZAF|40377000|Cape Town|Western Cape|2352121
India|Southern and Central Asia|IND|1013662000|Dhanbad|Jharkhand|151789
South Korea|Eastern Asia|KOR|46844000|Kimchon|Kyongsangbuk|147027
Japan|Eastern Asia|JPN|126714000|Fukuyama|Hiroshima|376921
Poland|Eastern Europe|POL|38653600|Kielce|Swietokrzyskie|212383
Nigeria|Western Africa|NGA|111506000|Ilawe-Ekiti|Ondo & Ekiti|184500
India|Southern and Central Asia|IND|1013662000|Sikar|Rajasthan|148272
Japan|Eastern Asia|JPN|126714000|Kitami|Hokkaido|111295
Vietnam|Southeast Asia|VNM|79832000|Rach Gia|Kien Giang|141132
United Kingdom|British Islands|GBR|59623400|Sheffield|England|431607
Germany|Western Europe|DEU|82164700|Herne|Nordrhein-Westfalen|175661
Venezuela|South America|VEN|24170000|Ciudad Ojeda|Zulia|99354
Japan|Eastern Asia|JPN|126714000|Misato|Saitama|132957
United States|North America|USA|278357000|Chandler|Arizona|176581
South Africa|Southern Africa|ZAF|40377000|Wonderboom|Gauteng|283289
Mexico|Central America|MEX|98881000|Toluca|México|665617
Iraq|Middle East|IRQ|23115000|Basra|Basra|406296
United States|North America|USA|278357000|Citrus Heights|California|103455
Austria|Western Europe|AUT|8091800|Salzburg|Salzburg|144247
Cocos (Keeling) Islands|Australia and New Zealand|CCK|600|Bantam|Home Island|503
Indonesia|Southeast Asia|IDN|212107000|Ujung Pandang|Sulawesi Selatan|1060257
Paraguay|South America|PRY|5496000|Lambaré|Central|99681
Philippines|Southeast Asia|PHL|75967000|Puerto Princesa|Southern Tagalog|161912
India|Southern and Central Asia|IND|1013662000|Calcutta [Kolkata]|West Bengali|4399819
Switzerland|Western Europe|CHE|7160400|Lausanne|Vaud|114500
Japan|Eastern Asia|JPN|126714000|Miyakonojo|Miyazaki|133183
Brazil|South America|BRA|170115000|Itaituba|Pará|101320
Papua New Guinea|Melanesia|PNG|4807000|Port Moresby|National Capital Dis|247000
United States|North America|USA|278357000|Peoria|Arizona|108364
Norway|Nordic Countries|NOR|4478500|Oslo|Oslo|508726
Japan|Eastern Asia|JPN|126714000|Morioka|Iwate|287353
Netherlands|Western Europe|NLD|15864000|Utrecht|Utrecht|234323
Peru|South America|PER|25662000|Juliaca|Puno|142576
Mexico|Central America|MEX|98881000|Nogales|Sonora|159103
Bangladesh|Southern and Central Asia|BGD|129155000|Barisal|Barisal|170232
Chile|South America|CHL|15211000|San Pedro de la Paz|Bíobío|91684
Argentina|South America|ARG|37032000|Lanús|Buenos Aires|469735
Greece|Southern Europe|GRC|10545700|Athenai|Attika|772072
Western Sahara|Northern Africa|ESH|293000|El-Aaiún|El-Aaiún|169000
Austria|Western Europe|AUT|8091800|Graz|Steiermark|240967
India|Southern and Central Asia|IND|1013662000|Serampore|West Bengali|137028
China|Eastern Asia|CHN|1277558000|Huaihua|Hunan|126785
Mozambique|Eastern Africa|MOZ|19680000|Beira|Sofala|397368
China|Eastern Asia|CHN|1277558000|Tongliao|Inner Mongolia|255129
Russian Federation|Eastern Europe|RUS|146934000|Vladimir|Vladimir|337100
India|Southern and Central Asia|IND|1013662000|Hathras|Uttar Pradesh|113285
Germany|Western Europe|DEU|82164700|Jena|Thüringen|99779
India|Southern and Central Asia|IND|1013662000|Godhra|Gujarat|96813
United States|North America|USA|278357000|Independence|Missouri|113288
Paraguay|South America|PRY|5496000|Ciudad del Este|Alto Paraná|133881
United States|North America|USA|278357000|Nashville-Davidson|Tennessee|569891
Ecuador|South America|ECU|12646000|Milagro|Guayas|124177
China|Eastern Asia|CHN|1277558000|Anqing|Anhui|250718
Mexico|Central America|MEX|98881000|Ixtlahuaca|México|115548
Germany|Western Europe|DEU|82164700|Bergisch Gladbach|Nordrhein-Westfalen|106150
Colombia|South America|COL|42321000|Santafé de Bogotá|Santafé de Bogotá|6260862
Indonesia|Southeast Asia|IDN|212107000|Taman|East Java|107000
Philippines|Southeast Asia|PHL|75967000|General Trias|Southern Tagalog|107691
Brazil|South America|BRA|170115000|Itapetininga|São Paulo|119391
Philippines|Southeast Asia|PHL|75967000|Mabalacat|Central Luzon|171045
Ukraine|Eastern Europe|UKR|50456000|Konotop|Sumy|96000
Japan|Eastern Asia|JPN|126714000|Tokuyama|Yamaguchi|107078
Japan|Eastern Asia|JPN|126714000|Moriguchi|Osaka|155941
China|Eastern Asia|CHN|1277558000|Zhangjiakou|Hebei|530000
Poland|Eastern Europe|POL|38653600|Kalisz|Wielkopolskie|106641
Mexico|Central America|MEX|98881000|Juárez|Chihuahua|1217818
Turkey|Middle East|TUR|66591000|Osmaniye|Osmaniye|146003
Japan|Eastern Asia|JPN|126714000|Ikoma|Nara|111645
Czech Republic|Eastern Europe|CZE|10278100|Hradec Králové|Východní Cechy|98080
Taiwan|Eastern Asia|TWN|22256000|Fengshan|Kaohsiung|318562
Romania|Eastern Europe|ROM|22455500|Drobeta-Turnu Severin|Mehedinti|117865
United States|North America|USA|278357000|Wichita Falls|Texas|104197
Italy|Southern Europe|ITA|57680000|Messina|Sisilia|259156
United Kingdom|British Islands|GBR|59623400|Coventry|England|304000
China|Eastern Asia|CHN|1277558000|Wafangdian|Liaoning|251733
Philippines|Southeast Asia|PHL|75967000|Lapu-Lapu|Central Visayas|217019
Mexico|Central America|MEX|98881000|Manzanillo|Colima|124014
China|Eastern Asia|CHN|1277558000|Jinchang|Gansu|105287
Bangladesh|Southern and Central Asia|BGD|129155000|Chittagong|Chittagong|1392860
India|Southern and Central Asia|IND|1013662000|Jabalpur|Madhya Pradesh|741927
Guadeloupe|Caribbean|GLP|456000|Les Abymes|Grande-Terre|62947
Brazil|South America|BRA|170115000|Montes Claros|Minas Gerais|286058
Venezuela|South America|VEN|24170000|Caracas|Distrito Federal|1975294
United States|North America|USA|278357000|Chattanooga|Tennessee|155554
Mexico|Central America|MEX|98881000|San Felipe del Progreso|México|177330
Brazil|South America|BRA|170115000|Varginha|Minas Gerais|108314
United States|North America|USA|278357000|Lubbock|Texas|199564
Philippines|Southeast Asia|PHL|75967000|Malabon|National Capital Reg|338855
South Korea|Eastern Asia|KOR|46844000|Kwang-yang|Chollanam|122052
Argentina|South America|ARG|37032000|Posadas|Misiones|201273
Japan|Eastern Asia|JPN|126714000|Kurashiki|Okayama|425103
Canada|North America|CAN|31147000|Brampton|Ontario|296711
Brazil|South America|BRA|170115000|São José de Ribamar|Maranhão|98318
India|Southern and Central Asia|IND|1013662000|Jammu|Jammu and Kashmir|214737
Tunisia|Northern Africa|TUN|9586000|Tunis|Tunis|690600
Japan|Eastern Asia|JPN|126714000|Hiratsuka|Kanagawa|254207
Japan|Eastern Asia|JPN|126714000|Narita|Chiba|91470
United Kingdom|British Islands|GBR|59623400|Slough|England|112000
Germany|Western Europe|DEU|82164700|Düsseldorf|Nordrhein-Westfalen|568855
India|Southern and Central Asia|IND|1013662000|Gondiya|Maharashtra|109470
Kiribati|Micronesia|KIR|83000|Bairiki|South Tarawa|2226
Bangladesh|Southern and Central Asia|BGD|129155000|Gazipur|Dhaka|96717
Spain|Southern Europe|ESP|39441700|Getafe|Madrid|145371
Mexico|Central America|MEX|98881000|Morelia|Michoacán de Ocampo|619958
South Africa|Southern Africa|ZAF|40377000|Welkom|Free State|203296
New Zealand|Australia and New Zealand|NZL|3862000|Waitakere|Auckland|170600
Mexico|Central America|MEX|98881000|La Paz|Baja California Sur|196708
China|Eastern Asia|CHN|1277558000|Xinxiang|Henan|473762
Bangladesh|Southern and Central Asia|BGD|129155000|Nawabganj|Rajshahi|130577
Romania|Eastern Europe|ROM|22455500|Bacau|Bacau|209235
Germany|Western Europe|DEU|82164700|Hamm|Nordrhein-Westfalen|181804
Romania|Eastern Europe|ROM|22455500|Piatra Neamt|Neamt|125070
China|Eastern Asia|CHN|1277558000|Kuytun|Xinxiang|118553
Brazil|South America|BRA|170115000|São José|Santa Catarina|155105
Tunisia|Northern Africa|TUN|9586000|Sfax|Sfax|257800
Brazil|South America|BRA|170115000|Guaíba|Rio Grande do Sul|92224
Mexico|Central America|MEX|98881000|Pénjamo|Guanajuato|143927
India|Southern and Central Asia|IND|1013662000|Tambaram|Tamil Nadu|107187
Philippines|Southeast Asia|PHL|75967000|Taytay|Southern Tagalog|198183
Russian Federation|Eastern Europe|RUS|146934000|Belgorod|Belgorod|342000
China|Eastern Asia|CHN|1277558000|Kunshan|Jiangsu|102052
Belarus|Eastern Europe|BLR|10236000|Pinsk|Brest|130000
Tanzania|Eastern Africa|TZA|33517000|Tabora|Tabora|92800
Russian Federation|Eastern Europe|RUS|146934000|Niznevartovsk|Hanti-Mansia|233900
Kenya|Eastern Africa|KEN|30080000|Eldoret|Rift Valley|111882
Martinique|Caribbean|MTQ|395000|Fort-de-France|Fort-de-France|94050
Oman|Middle East|OMN|2542000|Salala|Zufar|131813
Norway|Nordic Countries|NOR|4478500|Bergen|Hordaland|230948
Canada|North America|CAN|31147000|Delta|British Colombia|95411
China|Eastern Asia|CHN|1277558000|Ningbo|Zhejiang|1371200
China|Eastern Asia|CHN|1277558000|Pingdu|Shandong|150123
India|Southern and Central Asia|IND|1013662000|Bharuch (Broach)|Gujarat|133102
Cameroon|Central Africa|CMR|15085000|Yaoundé|Centre|1372800
United States|North America|USA|278357000|Stockton|California|243771
Italy|Southern Europe|ITA|57680000|Catanzaro|Calabria|96700
Italy|Southern Europe|ITA|57680000|Pesaro|Marche|88987
Belarus|Eastern Europe|BLR|10236000|Borisov|Minsk|151000
Argentina|South America|ARG|37032000|Paraná|Entre Rios|207041
Czech Republic|Eastern Europe|CZE|10278100|Pardubice|Východní Cechy|91309
United States|North America|USA|278357000|Austin|Texas|656562
Canada|North America|CAN|31147000|Richmond|British Colombia|148867
Pakistan|Southern and Central Asia|PAK|156483000|Mirpur Khas|Sind|184500
United States|North America|USA|278357000|Denver|Colorado|554636
Jordan|Middle East|JOR|5083000|Amman|Amman|1000000
Indonesia|Southeast Asia|IDN|212107000|Serang|West Java|122400
Brazil|South America|BRA|170115000|Nilópolis|Rio de Janeiro|153383
Sweden|Nordic Countries|SWE|8861400|Lund|Skåne län|98948
Mexico|Central America|MEX|98881000|Acámbaro|Guanajuato|110487
China|Eastern Asia|CHN|1277558000|Qaramay|Xinxiang|197602
Egypt|Northern Africa|EGY|68470000|Bilbays|al-Sharqiya|113608
Slovenia|Southern Europe|SVN|1987800|Ljubljana|Osrednjeslovenska|270986
United Kingdom|British Islands|GBR|59623400|Bolton|England|139020
India|Southern and Central Asia|IND|1013662000|Durgapur|West Bengali|425836
United States|North America|USA|278357000|Saint Louis|Missouri|348189
China|Eastern Asia|CHN|1277558000|Shanwei|Guangdong|107847
Philippines|Southeast Asia|PHL|75967000|Daraga (Locsin)|Bicol|101031
Vietnam|Southeast Asia|VNM|79832000|Buon Ma Thuot|Dac Lac|97044
Mexico|Central America|MEX|98881000|Piedras Negras|Coahuila de Zaragoza|127898
India|Southern and Central Asia|IND|1013662000|Sasaram|Bihar|98220
Denmark|Nordic Countries|DNK|5330000|Århus|Århus|284846
Indonesia|Southeast Asia|IDN|212107000|Palembang|Sumatera Selatan|1222764
India|Southern and Central Asia|IND|1013662000|Jaipur|Rajasthan|1458483
China|Eastern Asia|CHN|1277558000|Longkou|Shandong|148362
Poland|Eastern Europe|POL|38653600|Warszawa|Mazowieckie|1615369
China|Eastern Asia|CHN|1277558000|Fushun|Liaoning|1200000
Iran|Southern and Central Asia|IRN|67702000|Neyshabur|Khorasan|158847
San Marino|Southern Europe|SMR|27000|San Marino|San Marino|2294
India|Southern and Central Asia|IND|1013662000|Sitapur|Uttar Pradesh|121842
United States|North America|USA|278357000|Boulder|Colorado|91238
Brazil|South America|BRA|170115000|Codó|Maranhão|103153
United States|North America|USA|278357000|Coral Springs|Florida|117549
India|Southern and Central Asia|IND|1013662000|Titagarh|West Bengali|114085
Bolivia|South America|BOL|8329000|Santa Cruz de la Sierra|Santa Cruz|935361
Ukraine|Eastern Europe|UKR|50456000|Kramatorsk|Donetsk|186000
China|Eastern Asia|CHN|1277558000|Zhumadian|Henan|123232
India|Southern and Central Asia|IND|1013662000|Rajapalaiyam|Tamil Nadu|114202
Nigeria|Western Africa|NGA|111506000|Sapele|Edo & Delta|139200
South Korea|Eastern Asia|KOR|46844000|Kimhae|Kyongsangnam|256370
South Africa|Southern Africa|ZAF|40377000|Johannesburg|Gauteng|756653
Colombia|South America|COL|42321000|Valledupar|Cesar|263247
South Africa|Southern Africa|ZAF|40377000|Randburg|Gauteng|341288
Brazil|South America|BRA|170115000|Angra dos Reis|Rio de Janeiro|96864
Russian Federation|Eastern Europe|RUS|146934000|Derbent|Dagestan|92300
Mexico|Central America|MEX|98881000|Nicolás Romero|México|269393
India|Southern and Central Asia|IND|1013662000|Nellore|Andhra Pradesh|316606
Germany|Western Europe|DEU|82164700|Trier|Rheinland-Pfalz|99891
China|Eastern Asia|CHN|1277558000|Rizhao|Shandong|185048
Honduras|Central America|HND|6485000|Tegucigalpa|Distrito Central|813900
India|Southern and Central Asia|IND|1013662000|Kharagpur|West Bengali|177989
Japan|Eastern Asia|JPN|126714000|Maebashi|Gumma|284473
Moldova|Eastern Europe|MDA|4380000|Bender (Tîghina)|Bender (Tîghina)|125700
Jordan|Middle East|JOR|5083000|al-Zarqa|al-Zarqa|389815
Indonesia|Southeast Asia|IDN|212107000|Pangkal Pinang|Sumatera Selatan|124000
United States|North America|USA|278357000|Columbus|Ohio|711470
Canada|North America|CAN|31147000|Surrey|British Colombia|304477
Japan|Eastern Asia|JPN|126714000|Kawagoe|Saitama|327211
Brazil|South America|BRA|170115000|São Bernardo do Campo|São Paulo|723132
Turkey|Middle East|TUR|66591000|Kiziltepe|Mardin|112000
Mexico|Central America|MEX|98881000|Zamora|Michoacán de Ocampo|161191
Philippines|Southeast Asia|PHL|75967000|Arayat|Central Luzon|101792
India|Southern and Central Asia|IND|1013662000|Rishra|West Bengali|102649
Argentina|South America|ARG|37032000|Ituzaingó|Buenos Aires|158197
Paraguay|South America|PRY|5496000|Fernando de la Mora|Central|95287
Vietnam|Southeast Asia|VNM|79832000|Vinh|Nghe An|112455
India|Southern and Central Asia|IND|1013662000|Nizamabad|Andhra Pradesh|241034
China|Eastern Asia|CHN|1277558000|Yancheng|Jiangsu|296831
Australia|Australia and New Zealand|AUS|18886000|Geelong|Victoria|125382
Ukraine|Eastern Europe|UKR|50456000|Melitopol|Zaporizzja|169000
Japan|Eastern Asia|JPN|126714000|Odawara|Kanagawa|200171
United States|North America|USA|278357000|Fayetteville|North Carolina|121015
United States|North America|USA|278357000|Mesa|Arizona|396375
Brazil|South America|BRA|170115000|Arapiraca|Alagoas|178988
Venezuela|South America|VEN|24170000|Barquisimeto|Lara|877239
Iran|Southern and Central Asia|IRN|67702000|Bushehr|Bushehr|143641
Malaysia|Southeast Asia|MYS|22244000|Selayang Baru|Selangor|124228
China|Eastern Asia|CHN|1277558000|Panzhihua|Sichuan|415466
Indonesia|Southeast Asia|IDN|212107000|Sunggal|Sumatera Utara|92300
Netherlands|Western Europe|NLD|15864000|Leiden|Zuid-Holland|117196
Brazil|South America|BRA|170115000|Caxias do Sul|Rio Grande do Sul|349581
Iraq|Middle East|IRQ|23115000|Karbala|Karbala|296705
Japan|Eastern Asia|JPN|126714000|Abiko|Chiba|126670
Afghanistan|Southern and Central Asia|AFG|22720000|Kabul|Kabol|1780000
Saudi Arabia|Middle East|SAU|21607000|al-Dammam|al-Sharqiya|482300
Poland|Eastern Europe|POL|38653600|Walbrzych|Dolnoslaskie|136923
China|Eastern Asia|CHN|1277558000|Tangshan|Hebei|1040000
Sudan|Northern Africa|SDN|29490000|Obeid|Kurdufan al-Shamaliy|229425
United States|North America|USA|278357000|Livonia|Michigan|100545
Japan|Eastern Asia|JPN|126714000|Hitachinaka|Tokyo-to|148006
Italy|Southern Europe|ITA|57680000|Trento|Trentino-Alto Adige|104906
China|Eastern Asia|CHN|1277558000|Liuzhou|Guangxi|610000
Spain|Southern Europe|ESP|39441700|Valladolid|Castilla and León|319998
Japan|Eastern Asia|JPN|126714000|Gifu|Gifu|408007
Ukraine|Eastern Europe|UKR|50456000|Jenakijeve|Donetsk|105000
Italy|Southern Europe|ITA|57680000|Foggia|Apulia|154891
United Kingdom|British Islands|GBR|59623400|Plymouth|England|253000
India|Southern and Central Asia|IND|1013662000|Beawar|Rajasthan|105363
Russian Federation|Eastern Europe|RUS|146934000|Jaroslavl|Jaroslavl|616700
India|Southern and Central Asia|IND|1013662000|Balurghat|West Bengali|119796
Brazil|South America|BRA|170115000|Rio Branco|Acre|259537
Brazil|South America|BRA|170115000|Jaú|São Paulo|109965
China|Eastern Asia|CHN|1277558000|Jiutai|Jilin|180130
Russian Federation|Eastern Europe|RUS|146934000|Rjazan|Rjazan|529900
Japan|Eastern Asia|JPN|126714000|Toyokawa|Aichi|115781
Japan|Eastern Asia|JPN|126714000|Hino|Tokyo-to|166770
Rwanda|Eastern Africa|RWA|7733000|Kigali|Kigali|286000
Qatar|Middle East|QAT|599000|Doha|Doha|355000
Philippines|Southeast Asia|PHL|75967000|Malita|Southern Mindanao|100000
United States|North America|USA|278357000|Santa Rosa|California|147595
United States|North America|USA|278357000|Riverside|California|255166
Russian Federation|Eastern Europe|RUS|146934000|Atšinsk|Krasnojarsk|121600
Japan|Eastern Asia|JPN|126714000|Chigasaki|Kanagawa|216015
Grenada|Caribbean|GRD|94000|Saint George´s|St George|4621
India|Southern and Central Asia|IND|1013662000|Panipat|Haryana|215218
Sierra Leone|Western Africa|SLE|4854000|Freetown|Western|850000
Russian Federation|Eastern Europe|RUS|146934000|Magnitogorsk|Tšeljabinsk|427900
Greece|Southern Europe|GRC|10545700|Herakleion|Crete|116178
Mexico|Central America|MEX|98881000|Chimalhuacán|México|490245
Japan|Eastern Asia|JPN|126714000|Akishima|Tokyo-to|106914
Spain|Southern Europe|ESP|39441700|Algeciras|Andalusia|103106
Algeria|Northern Africa|DZA|31471000|Tiaret|Tiaret|100118
Poland|Eastern Europe|POL|38653600|Opole|Opolskie|129553
Japan|Eastern Asia|JPN|126714000|Handa|Aichi|108600
Spain|Southern Europe|ESP|39441700|Marbella|Andalusia|101144
Ecuador|South America|ECU|12646000|Machala|El Oro|210368
Brazil|South America|BRA|170115000|Marília|São Paulo|188691
Yugoslavia|Southern Europe|YUG|10640000|Priština|Kosovo and Metohija|155496
Italy|Southern Europe|ITA|57680000|Piacenza|Emilia-Romagna|98384
Japan|Eastern Asia|JPN|126714000|Ueda|Nagano|124217
United States|North America|USA|278357000|Lafayette|Louisiana|110257
United States|North America|USA|278357000|Columbia|South Carolina|116278
United States|North America|USA|278357000|Cary|North Carolina|91213
Puerto Rico|Caribbean|PRI|3869000|Mayagüez|Mayagüez|98434
India|Southern and Central Asia|IND|1013662000|Machilipatnam (Masulipatam)|Andhra Pradesh|159110
El Salvador|Central America|SLV|6276000|Soyapango|San Salvador|129800
Germany|Western Europe|DEU|82164700|Magdeburg|Anhalt Sachsen|235073
Russian Federation|Eastern Europe|RUS|146934000|Toljatti|Samara|722900
Bangladesh|Southern and Central Asia|BGD|129155000|Bogra|Rajshahi|120170
China|Eastern Asia|CHN|1277558000|Huainan|Anhui|700000
Turks and Caicos Islands|Caribbean|TCA|17000|Cockburn Town|Grand Turk|4800
Ukraine|Eastern Europe|UKR|50456000|Simferopol|Krim|339000
Israel|Middle East|ISR|6217000|Netanya|Ha Merkaz|154900
Iran|Southern and Central Asia|IRN|67702000|Masjed-e-Soleyman|Khuzestan|116883
India|Southern and Central Asia|IND|1013662000|North Barrackpur|West Bengali|100513
China|Eastern Asia|CHN|1277558000|Yanji|Jilin|230892
United Kingdom|British Islands|GBR|59623400|Peterborough|England|156000
Mauritius|Eastern Africa|MUS|1158000|Vacoas-Phoenix|Plaines Wilhelms|98464
Brazil|South America|BRA|170115000|Poá|São Paulo|89236
United States|North America|USA|278357000|San Bernardino|California|185401
Japan|Eastern Asia|JPN|126714000|Higashiosaka|Osaka|517785
United States|North America|USA|278357000|Fullerton|California|126003
Philippines|Southeast Asia|PHL|75967000|Danao|Central Visayas|98781
India|Southern and Central Asia|IND|1013662000|Satna|Madhya Pradesh|156630
China|Eastern Asia|CHN|1277558000|Zigong|Sichuan|393184
Brazil|South America|BRA|170115000|Franco da Rocha|São Paulo|108964
Mozambique|Eastern Africa|MOZ|19680000|Gurue|Zambézia|99300
China|Eastern Asia|CHN|1277558000|Huangshi|Hubei|457601
India|Southern and Central Asia|IND|1013662000|Tirupati|Andhra Pradesh|174369
Nigeria|Western Africa|NGA|111506000|Offa|Kwara & Kogi|197200
Egypt|Northern Africa|EGY|68470000|Giza|Giza|2221868
United States|North America|USA|278357000|Huntsville|Alabama|158216
Iraq|Middle East|IRQ|23115000|al-Hilla|Babil|268834
Russian Federation|Eastern Europe|RUS|146934000|Mytištši|Moskova|155700
China|Eastern Asia|CHN|1277558000|Shizuishan|Ningxia|257862
United States|North America|USA|278357000|Boise City|Idaho|185787
China|Eastern Asia|CHN|1277558000|Zixing|Hunan|110048
United States|North America|USA|278357000|Carson|California|89089
Italy|Southern Europe|ITA|57680000|Genova|Liguria|636104
Indonesia|Southeast Asia|IDN|212107000|Pemalang|Central Java|103500
India|Southern and Central Asia|IND|1013662000|Barrackpur|West Bengali|133265
Philippines|Southeast Asia|PHL|75967000|Iloilo|Western Visayas|365820
India|Southern and Central Asia|IND|1013662000|Kollam (Quilon)|Kerala|139852
Brazil|South America|BRA|170115000|Patos de Minas|Minas Gerais|119262
United States|North America|USA|278357000|Hampton|Virginia|146437
China|Eastern Asia|CHN|1277558000|Acheng|Heilongjiang|197595
Brazil|South America|BRA|170115000|Olinda|Pernambuco|354732
Philippines|Southeast Asia|PHL|75967000|San Pablo|Southern Tagalog|207927
Brazil|South America|BRA|170115000|Caucaia|Ceará|238738
Japan|Eastern Asia|JPN|126714000|Kanazawa|Ishikawa|455386
Venezuela|South America|VEN|24170000|Puerto Cabello|Carabobo|187722
Romania|Eastern Europe|ROM|22455500|Brasov|Brasov|314225
Iraq|Middle East|IRQ|23115000|Kirkuk|al-Tamim|418624
Indonesia|Southeast Asia|IDN|212107000|Percut Sei Tuan|Sumatera Utara|129000
India|Southern and Central Asia|IND|1013662000|Timkur|Karnataka|138903
Turkey|Middle East|TUR|66591000|Çorlu|Tekirdag|123300
China|Eastern Asia|CHN|1277558000|Nanchong|Sichuan|180273
Philippines|Southeast Asia|PHL|75967000|Sultan Kudarat|ARMM|94861
Chile|South America|CHL|15211000|Curicó|Maule|115766
Mexico|Central America|MEX|98881000|Lagos de Moreno|Jalisco|127949
Chile|South America|CHL|15211000|Ovalle|Coquimbo|94854
United States|North America|USA|278357000|Detroit|Michigan|951270
Canada|North America|CAN|31147000|Vancouver|British Colombia|514008
Taiwan|Eastern Asia|TWN|22256000|Taitung|Taitung|111039
Mozambique|Eastern Africa|MOZ|19680000|Mocuba|Zambézia|124700
Brazil|South America|BRA|170115000|Cachoeirinha|Rio Grande do Sul|103240
India|Southern and Central Asia|IND|1013662000|Bhavnagar|Gujarat|402338
Russian Federation|Eastern Europe|RUS|146934000|Krasnodar|Krasnodar|639000
Philippines|Southeast Asia|PHL|75967000|Rodriguez (Montalban)|Southern Tagalog|115167
Taiwan|Eastern Asia|TWN|22256000|Lungtan|Taipei|103088
South Korea|Eastern Asia|KOR|46844000|Sosan|Chungchongnam|134746
Turkey|Middle East|TUR|66591000|Kilis|Kilis|118245
